,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
0,25-34,Education (Higher Education),55000,USD,United States,Massachusetts,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
1,25-34,Computing or Tech,74534,USD,United States,,8 - 10 years,5-7 years,College degree,Non-binary,White,Managerial Level
2,25-34,"Accounting, Banking & Finance",34000,USD,United States,Tennessee,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
3,25-34,Nonprofits,65000,USD,United States,Wisconsin,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
4,25-34,"Accounting, Banking & Finance",67000,USD,United States,South Carolina,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
5,25-34,Education (Higher Education),62000,USD,United States,New Hampshire,8 - 10 years,2 - 4 years,Master's degree,Man,White,Mid Level
7,25-34,Education (Primary/Secondary),50000,USD,United States,Arizona,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
8,45-54,Computing or Tech,122000,USD,United States,Missouri,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
9,35-44,"Accounting, Banking & Finance",45000,USD,United States,Florida,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
10,25-34,Nonprofits,47500,USD,United States,,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
11,35-44,Education (Higher Education),62000,USD,United States,Pennsylvania,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",Executive Level
12,35-44,"Accounting, Banking & Finance",100000,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,Managerial Level
14,18-24,Health care,23254,USD,United States,,1 year or less,1 year or less,College degree,Woman,White,Mid Level
15,35-44,Utilities & Telecommunications,31162,USD,United States,,11 - 20 years,5-7 years,College degree,Man,White,Mid Level
16,35-44,Business or Consulting,90000,USD,United States,Illinois,8 - 10 years,8 - 10 years,Some college,Woman,White,Executive Level
17,45-54,Art & Design,59000,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
18,35-44,Business or Consulting,99000,USD,United States,Georgia,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
19,35-44,Education (Higher Education),54000,USD,United States,Florida,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
20,25-34,Health care,74000,USD,United States,Pennsylvania,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
21,35-44,Nonprofits,50000,USD,United States,,5-7 years,2 - 4 years,PhD,Woman,White,Mid Level
22,35-44,Nonprofits,45782,USD,United States,,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
23,35-44,Government and Public Administration,97000,USD,United States,Ohio,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American,Mid Level
25,35-44,Education (Higher Education),60000,USD,United States,Michigan,11 - 20 years,1 year or less,Master's degree,Woman,White,Mid Level
26,25-34,Nonprofits,62000,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Man,White,Executive Level
27,35-44,Law,52000,USD,United States,Maryland,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,Managerial Level
28,35-44,Government and Public Administration,140000,USD,United States,District of Columbia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
29,25-34,Engineering or Manufacturing,80000,USD,United States,Texas,5-7 years,5-7 years,College degree,Woman,White,Mid Level
30,25-34,Nonprofits,39000,USD,United States,Minnesota,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
31,35-44,Media & Digital,125000,USD,United States,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
32,25-34,"Accounting, Banking & Finance",230000,USD,United States,Missouri,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
33,35-44,"Accounting, Banking & Finance",125000,USD,United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
34,25-34,Nonprofits,50000,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
35,35-44,Education (Higher Education),68000,USD,United States,North Carolina,5-7 years,2 - 4 years,Master's degree,Woman,White,Senior Level
36,18-24,Media & Digital,41100,USD,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
37,25-34,"Accounting, Banking & Finance",86000,USD,United States,New York,5-7 years,2 - 4 years,College degree,Woman,White,Senior Level
38,35-44,Government and Public Administration,78000,USD,United States,California,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
39,25-34,"Accounting, Banking & Finance",37000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
40,45-54,Engineering or Manufacturing,150000,USD,United States,Georgia,21 - 30 years,21 - 30 years,College degree,Woman,White,Managerial Level
41,35-44,"Marketing, Advertising & PR",52148,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Woman,White,Senior Level
42,25-34,Government and Public Administration,65000,USD,United States,Virginia,5-7 years,5-7 years,College degree,Man,White,Managerial Level
43,25-34,Computing or Tech,192500,USD,United States,Pennsylvania,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
44,25-34,Computing or Tech,130000,USD,United States,Virginia,8 - 10 years,8 - 10 years,Master's degree,Man,White,Mid Level
45,25-34,Nonprofits,68125,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
46,35-44,Computing or Tech,147100,USD,United States,Massachusetts,5-7 years,5-7 years,PhD,Woman,White,Mid Level
47,35-44,Computing or Tech,240850,USD,United States,North Carolina,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
48,25-34,Engineering or Manufacturing,88294,USD,United States,,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
49,25-34,Retail,78121,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
50,35-44,Education (Higher Education),96000,USD,United States,California,5-7 years,5-7 years,PhD,Woman,White,Mid Level
51,25-34,Education (Primary/Secondary),54000,USD,United States,Minnesota,5-7 years,1 year or less,Master's degree,Woman,White,Mid Level
52,25-34,"Marketing, Advertising & PR",105000,USD,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
53,35-44,Computing or Tech,75000,USD,United States,Michigan,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
54,35-44,Media & Digital,37788,USD,United States,,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,Mid Level
